SJSJ,CLDBS,ZXYGZ,ZXYGF,ZXYGP,ZXYGG,ZXYGJ,ZXWGZ,FXYGZ,FXYGF,FXYGP,FXYGG,FXYGJ,FXWGZ
2020/6/3,15170309000,2308.9805,840.89154,1290.6373,177.44313,0,100.59209,0,0,0,0,0,0.005
2020/6/4,15170309000,2315.0913,842.8458,1294.5798,177.65688,0,99.589165,0,0,0,0,0,0.002083333
2020/6/5,15170309000,2320.8926,844.6763,1298.333,177.87552,0,98.87115,0,0,0,0,0,0
2020/6/6,15170309000,2326.1265,846.6667,1301.3342,178.11615,0,99.07083,0,0,0,0,0,0
2020/6/7,15170309000,2330.5642,848.3808,1303.8267,178.34792,0,99.2474,0,0,0,0,0,0
2020/6/8,15170309000,2334.938,849.8763,1306.4653,178.58626,0,99.41177,0,0,0,0,0,0
2020/6/10,15170309000,2344.5337,853.2673,1312.2094,179.04865,0,99.76542,0,0,0,0,0,0
2020/6/11,15170309000,2350.1758,855.27466,1315.6046,179.28563,0,99.96114,0,0,0,0,0,0
2020/6/12,15170309000,2356.109,857.288,1319.2987,179.51656,0,100.18052,0,0,0,0,0,0
2020/6/13,15170309000,2362.0676,859.34717,1322.9454,179.76344,0,100.39531,0,0,0,0,0,0
2020/6/14,15170309000,2368.187,861.64374,1326.5287,180.00511,0,100.58729,0,0,0,0,0,0
2020/6/15,15170309000,2374.1743,863.8903,1330.0253,180.24782,0,101.18073,0,0,0,0,0,0.000833333
2020/6/16,15170309000,2380.1746,866.2384,1333.3923,180.535,0,103.34917,0,0,0,0,0,0.005
2020/6/17,15170309000,2386.468,868.25543,1337.4342,180.77126,0,103.62469,0,0,0,0,0,0.005
2020/6/18,15170309000,2392.0503,869.9654,1341.071,181.00604,0,103.84104,0,0,0,0,0,0.005
2020/6/19,15170309000,2397.9006,871.6806,1345.0431,181.1698,0,104.07229,0,0,0,0,0,0.005
2020/6/20,15170309000,2404.0664,873.487,1349.1809,181.39313,0,104.32271,0,0,0,0,0,0.005
2020/6/21,15170309000,2410.6003,875.7499,1353.2142,181.6275,0,104.6351,0,0,0,0,0,0.005
2020/6/22,15170309000,2417.098,877.96606,1357.2538,181.87198,0,104.91854,0,0,0,0,0,0.005
2020/6/23,15170309000,2423.1633,879.9381,1361.1112,182.1072,0,105.15708,0,0,0,0,0,0.005
2020/6/24,15170309000,2429.679,882.3351,1364.988,182.35156,0,105.48896,0,0,0,0,0,0.005
2020/6/25,15170309000,2435.5073,884.4125,1368.5012,182.58688,0,105.58229,0,0,0,0,0,0.004583333
2020/6/26,15170309000,2441.247,885.9935,1372.4814,182.76521,0,103.6201,0,0,0,0,0,0
2020/6/27,15170309000,2447.5156,887.9307,1376.5717,183.005,0,103.93271,0,0,0,0,0,0
2020/6/28,15170309000,2453.0078,889.71497,1380.0414,183.23761,0,104.14188,0,0,0,0,0,0
2020/6/29,15170309000,2458.787,891.6223,1383.6595,183.4974,0,105.08156,0,0,0,0,0,0.001458333
2020/6/30,15170309000,2464.8154,893.73944,1387.279,183.78885,0,106.9475,0,0,0,0,0,0.004791667
2020/7/1,15170309000,2471.5647,896.0181,1391.5176,184.02583,0,107.31552,0,0,0,0,0,0.005
2020/7/2,15170309000,2477.8318,898.1428,1395.4171,184.26282,0,107.556046,0,0,0,0,0,0.005
2020/7/4,15170309000,2489.2378,901.9395,1402.5455,184.7426,0,108.02646,0,0,0,0,0,0.005
2020/7/5,15170309000,2495.1445,903.618,1406.5806,184.93854,0,106.61379,0,0,0,0,0,0.001684211
2020/7/6,15170309000,2501.3828,905.5286,1410.6616,185.18448,0,107.06323,0,0,0,0,0,0.002083333
2020/7/8,15170309000,2513.016,909.5703,1417.739,185.70407,0,108.60563,0,0,0,0,0,0.004375
2020/7/10,15170309000,2524.4888,912.9942,1425.3619,186.12468,0,106.74635,0,0,0,0,0,0
2020/7/11,15170309000,2530.5725,915.13873,1429.0055,186.41885,0,109.186455,0,0,0,0,0,0.004375
2020/7/13,15170309000,2543.9006,919.32355,1437.6967,186.8726,0,108.35136,0,0,0,0,0,0.001875
2020/7/14,15170309000,2550.3743,921.253,1442.0057,187.10907,0,107.62937,0,0,0,0,0,0
2020/7/15,15170309000,2556.7454,923.31177,1446.059,187.36855,0,108.06458,0,0,0,0,0,0.000416667
2020/7/16,15170309000,2562.687,925.4839,1449.5197,187.6749,0,110.66865,0,0,0,0,0,0.005
2020/7/17,15170309000,2569.0964,927.34375,1453.8774,187.86583,0,108.7474,0,0,0,0,0,0.000833333
2020/7/18,15170309000,2575.4744,929.40155,1457.9604,188.10301,0,108.533646,0,0,0,0,0,0
2020/7/19,15170309000,2581.782,931.78174,1461.6215,188.36855,0,109.63479,0,0,0,0,0,0.001666667
2020/7/20,15170309000,2588.2227,934.25055,1465.306,188.66104,0,111.45146,0,0,0,0,0,0.004791667
2020/7/22,15170309000,2600.126,938.01636,1473.0001,189.09438,0,109.265,0,0,0,0,0,0
2020/7/23,15170309000,2606.3306,940.2177,1476.7052,189.39917,0,111.553955,0,0,0,0,0,0.003958333
2020/7/24,15170309000,2613.103,942.4833,1480.9524,189.66132,0,112.368355,0,0,0,0,0,0.005054945
2020/7/25,15170309000,2620.4463,944.8156,1485.72,189.90666,0,112.07083,0,0,0,0,0,0.003958333
2020/7/26,15170309000,2627.389,946.9916,1490.2881,190.09583,0,110.16771,0,0,0,0,0,0
2020/7/27,15170309000,2633.482,949.2923,1493.7758,190.41093,0,112.95115,0,0,0,0,0,0.004791667
2020/7/28,15170309000,2640.023,951.32587,1497.9961,190.69594,0,113.36021,0,0,0,0,0,0.005
2020/7/29,15170309000,2646.8667,953.3592,1502.5493,190.94626,0,112.42239,0,0,0,0,0,0.002708333
2020/7/30,15170309000,2653.321,955.2594,1506.8754,191.17636,0,111.62135,0,0,0,0,0,0.000833333
2020/7/31,15170309000,2659.449,957.32916,1510.6241,191.485,0,114.0951,0,0,0,0,0,0.005
2020/8/1,15170309000,2665.0688,959.1564,1514.1696,191.7349,0,114.28646,0,0,0,0,0,0.005
2020/8/2,15170309000,2670.1267,960.69586,1517.4406,191.98198,0,114.337814,0,0,0,0,0,0.004791667
2020/8/3,15170309000,2675.7732,962.5024,1521.0289,192.23459,0,114.64896,0,0,0,0,0,0.005
2020/8/4,15170309000,2681.102,964.2018,1524.4092,192.48448,0,114.79198,0,0,0,0,0,0.005
2020/8/5,15170309000,2686.39,965.95905,1527.687,192.73448,0,114.95917,0,0,0,0,0,0.005
2020/8/6,15170309000,2691.7805,967.6321,1531.1548,192.98459,0,115.10698,0,0,0,0,0,0.005
2020/8/7,15170309000,2697.5022,969.1299,1535.1765,193.18282,0,113.17375,0,0,0,0,0,0.00125
